time,ns_count,ew_count,emergency,decision
0,2,2,0,KEEP
1,2,2,0,NONE
2,2,2,0,NONE
3,2,2,0,NONE
4,2,2,0,NONE
5,3,2,1,EMERGENCY_NS_GREEN
6,4,2,1,EMERGENCY_NS_GREEN
7,4,2,1,EMERGENCY_NS_GREEN
8,5,2,1,EMERGENCY_NS_GREEN
9,5,2,1,EMERGENCY_NS_GREEN
10,5,2,1,EMERGENCY_NS_GREEN
11,5,2,1,EMERGENCY_NS_GREEN
12,6,4,1,EMERGENCY_NS_GREEN
13,7,4,1,EMERGENCY_NS_GREEN
14,7,4,1,EMERGENCY_NS_GREEN
15,6,4,1,EMERGENCY_NS_GREEN
16,5,4,1,EMERGENCY_NS_GREEN
17,4,4,1,EMERGENCY_NS_GREEN
18,6,4,1,EMERGENCY_NS_GREEN
19,6,4,1,EMERGENCY_NS_GREEN
20,6,4,1,EMERGENCY_NS_GREEN
21,5,4,1,EMERGENCY_NS_GREEN
22,5,4,1,EMERGENCY_NS_GREEN
23,4,4,1,EMERGENCY_NS_GREEN
24,5,6,1,EMERGENCY_NS_GREEN
25,6,6,0,KEEP
26,6,6,0,NONE
27,5,6,0,NONE
28,5,6,0,NONE
29,4,6,0,NONE
30,6,6,0,KEEP
31,6,6,0,NONE
32,6,6,0,NONE
33,6,6,0,NONE
34,4,6,0,NONE
35,4,6,0,KEEP
36,5,8,0,NONE
37,5,8,0,NONE
38,6,8,0,NONE
39,5,8,0,NONE
40,4,8,0,EW_GREEN
41,4,8,0,NONE
42,6,6,0,NONE
43,6,6,0,NONE
44,6,6,0,NONE
45,6,6,0,KEEP
46,6,4,0,NONE
47,6,4,0,NONE
48,8,6,0,NONE
49,8,4,0,NONE
50,8,4,0,NS_GREEN
51,8,4,0,NONE
52,6,4,0,NONE
53,6,4,0,NONE
54,8,4,0,NONE
55,8,4,0,NS_GREEN
56,6,4,0,NONE
57,6,4,0,NONE
58,6,4,0,NONE
59,4,4,0,NONE
60,6,4,0,KEEP
61,6,6,0,NONE
62,6,6,0,NONE
63,4,6,0,NONE
64,4,6,0,NONE
65,4,6,0,KEEP
66,4,6,0,NONE
67,4,6,0,NONE
68,4,6,0,NONE
69,3,6,0,NONE
70,3,6,0,EW_GREEN
71,3,6,0,NONE
72,3,6,0,NONE
73,4,6,0,NONE
74,4,6,0,NONE
75,4,6,0,KEEP
76,4,4,0,NONE
77,5,4,0,NONE
78,6,4,0,NONE
79,6,2,0,NONE
80,6,2,0,NS_GREEN
81,7,2,0,NONE
82,6,2,0,NONE
83,6,2,0,NONE
84,6,4,0,NONE
85,6,4,0,KEEP
86,6,4,0,NONE
87,7,4,0,NONE
88,7,4,0,NONE
89,6,4,0,NONE
90,7,4,0,NS_GREEN
91,7,4,0,NONE
92,7,4,0,NONE
93,7,4,0,NONE
94,6,4,0,NONE
95,6,4,0,KEEP
96,6,6,0,NONE
97,7,6,0,NONE
98,6,6,0,NONE
99,6,6,0,NONE
100,6,6,0,KEEP
101,5,6,0,NONE
102,6,6,0,NONE
103,6,6,0,NONE
104,6,6,0,NONE
105,6,6,0,KEEP
106,6,6,0,NONE
107,5,6,0,NONE
108,5,8,0,NONE
109,5,8,0,NONE
110,6,8,0,KEEP
111,6,8,0,NONE
112,4,8,0,NONE
113,4,8,0,NONE
114,4,8,0,NONE
115,4,8,0,EW_GREEN
116,5,8,0,NONE
117,6,6,0,NONE
118,6,6,0,NONE
119,6,6,0,NONE
120,6,8,0,KEEP
121,6,7,0,NONE
122,8,6,0,NONE
123,8,6,0,NONE
124,8,5,0,NONE
125,8,4,0,NS_GREEN
126,9,4,0,NONE
127,8,4,0,NONE
128,8,4,0,NONE
129,8,4,0,NONE
130,8,4,0,NS_GREEN
131,6,4,0,NONE
132,8,5,0,NONE
133,8,5,0,NONE
134,6,5,0,NONE
135,6,5,0,KEEP
136,6,6,0,NONE
137,5,6,0,NONE
138,6,6,0,NONE
139,6,6,0,NONE
140,6,6,0,KEEP
141,6,6,0,NONE
142,5,6,0,NONE
143,4,6,0,NONE
144,4,8,0,NONE
145,4,8,0,EW_GREEN
146,4,8,0,NONE
147,5,6,0,NONE
148,6,6,0,NONE
149,6,6,0,NONE
150,6,6,0,KEEP
151,6,4,0,NONE
152,8,4,0,NONE
153,8,4,0,NONE
154,8,2,0,NONE
155,8,2,0,NS_GREEN
156,9,4,0,NONE
157,8,4,0,NONE
158,8,4,0,NONE
159,8,4,0,NONE
160,8,4,0,NS_GREEN
161,7,4,0,NONE
162,8,4,0,NONE
163,8,4,0,NONE
164,7,4,0,NONE
165,6,4,0,KEEP
166,6,4,0,NONE
167,5,4,0,NONE
168,6,6,0,NONE
169,6,6,0,NONE
170,6,6,0,KEEP
171,6,6,0,NONE
172,4,6,0,NONE
173,4,6,0,NONE
174,5,6,0,NONE
175,5,6,0,KEEP
176,5,6,0,NONE
177,4,6,0,NONE
178,4,6,0,NONE
179,4,6,0,NONE
180,5,8,0,EW_GREEN
181,6,8,0,NONE
182,6,6,0,NONE
183,6,6,0,NONE
184,6,6,0,NONE
185,6,6,0,KEEP
186,8,4,0,NONE
187,8,4,0,NONE
188,8,4,0,NONE
189,8,2,0,NONE
190,8,2,0,NS_GREEN
191,8,2,0,NONE
192,8,4,0,NONE
193,8,4,0,NONE
194,8,4,0,NONE
195,8,4,0,NS_GREEN
196,6,4,0,NONE
197,6,4,0,NONE
198,8,4,0,NONE
199,6,4,0,NONE
